name,affiliation,country,dept,year
Anders M’Ùller ,Aarhus University,europe,plan,2001
Aslan Askarov ,Aarhus University,europe,plan,2012
Christian N. S. Pedersen ,Aarhus University,europe,act,2013
Christian N’Ùrgaard Storm Pedersen ,Aarhus University,europe,#N/A,#N/A
Claudio Orlandi ,Aarhus University,europe,crypt,2010
Eve Hoggan ,Aarhus University,europe,#N/A,#N/A
Gerth St’Ùlting Brodal ,Aarhus University,europe,act,1996
Gudmund Skovbjerg Frandsen ,Aarhus University,europe,act,1993
Hans J’_rg M’_ller ,Aarhus University,europe,#N/A,#N/A
Henrik B’_rbak Christensen ,Aarhus University,europe,chi,2002
Ira Assent ,Aarhus University,europe,mlmining,2005